CompanyName,Job Title,Job Source,Cleaned Primary Tech Stack,Primary Tech Stack,Secondary Tech Stacks,Phase,Applied At,Lead Created At
Gusto Inc,Software Engineer (Sr. Staff),Web,Ruby,Ruby,AWS,Interview,7/23/2024 9:41,7/23/2024 17:39
deploy alloy,Senior Python Developer,LinkedIn,Python,Python,Django,Interview,6/12/2024 11:00,7/23/2024 17:23
StreetLight Data,Senior Software Engineer,Simplyhired,Python,Python,Frontend and Backend Engineer,Interview,6/26/2024 12:28,7/23/2024 16:59
stride build,"Consultant Software Developer, Senior",Simplify,Ruby,Ruby on Rails,Python,Interview,7/17/2024 14:26,7/23/2024 16:24
comoto,software engineer iii - front-end,builtin,Ruby,Ruby,"Database, DevOps, and Ruby on Rails",Interview,7/18/2024 10:19,7/23/2024 16:20
skillable,FullStack Software Engineer,LinkedIn,.NET,.NET,C#,Interview,7/16/2024 10:41,7/23/2024 16:16
Haus,"Fullstack Software Engineer, Applications",Web,Python,Python,React,Interview,7/23/2024 8:37,7/23/2024 16:04
pinwheel,"Software Engineering, Full Stack",Direct Web,Python,Python,React,Interview,7/23/2024 11:05,7/23/2024 15:50
workit health,Senior Full Stack Software Engineer,Direct Web,Ruby,Ruby on Rails,MVC,Interview,7/19/2024 11:47,7/23/2024 15:47
ezcater,"Senior Software Engineer, Growth Platform (Remote)",Linkup,Ruby,Ruby on Rails,React,Interview,7/9/2024 19:03,7/23/2024 15:47
paypal,Ruby on rails developer,Upsell,Ruby,Ruby,Ruby on Rails,Interview,7/23/2024 15:02,7/23/2024 15:09
ascend analytics,Python Software Engineer,GreenHouse,Python,Python,ML,Interview,7/1/2024 4:52,7/23/2024 14:17
evercommerce,"DrChrono - Software Engineer - Remote, US",Indeed,Python,Python,"MariaDB, Agile, React, Full Stack Developer, MySQL, PostgreSQL, TypeScript, and Django",Interview,7/23/2024 10:32,7/23/2024 13:34
postscript,Senior Frontend Engineer - Acquisition andAppExperience,workingnomads,Node.js,Node.js,TypeScript,Interview,6/27/2024 11:05,7/23/2024 13:07
PowerX Technology,"Senior Software Engineer (Backend/Full-Stack, Typescript)",LinkedIn,Node.js,MERN,Full Stack Developer,Test Project,7/23/2024 12:55,7/23/2024 12:56
"isc (integrated specialty coverages, llc",senior nodejs developer,LinkedIn,Node.js,Node.js,"AI, ML, ML Engineer, Database, MERN, DevOps, and JavaScript",Interview,7/23/2024 12:33,7/23/2024 12:34
loadup technologies,Senior Ruby on Rails Software Engineer,Web,Ruby,Ruby on Rails,React,Interview,7/15/2024 7:17,7/23/2024 12:32
TealBook,Frontend Staff Engineer,LinkedIn,Node.js,TypeScript,React,Interview,7/15/2024 18:47,7/23/2024 12:20
rehab media,Team Lead (Full Stack Development) - Fully,talent,Node.js,MERN,"MongoDB, MySQL, and JavaScript",Interview,7/2/2024 5:34,7/23/2024 12:07
affinity,Senior Software Engineer II,Ruby on Remote,Ruby,Ruby on Rails,JavaScript/TypeScript and React,Interview,7/16/2024 13:18,7/23/2024 12:03
2u,"Software Engineer III, Canvas Learning Platform",Indeed,Python,Python,Node.js and Ruby,Interview,7/18/2024 6:45,7/23/2024 11:49
"Russ Hadick & Associates, Inc",senior .net web developer,Indeed,.NET,C#,"Database, .NET, and DevOps",Interview,7/23/2024 7:13,7/23/2024 11:44
level data llc,Senior Software Engineer (Talent),Web,.NET,.NET,Angular,Interview,7/2/2024 10:33,7/23/2024 11:26
call box,Senior Developer (JS/TS Focused),Indeed,Node.js,JavaScript,TypeScript and SQL,Interview,7/11/2024 8:09,7/23/2024 11:25
webstarted,Staff Software Engineer - Product,LinkedIn,Node.js,React,JavaScript,Interview,7/23/2024 10:27,7/23/2024 11:11
hipcamp,"Sr. Full Stack Mobile Engineer, Camper Experience",LinkedIn,Node.js,React,Node.js,Interview,7/23/2024 10:36,7/23/2024 11:10
"ObjectWin Technology, Inc",Senior Full Stack Developer,Via direct email,Node.js,MERN,TypeScript and Node.js,Interview,7/23/2024 10:32,7/23/2024 10:36
hbk,senior software engineer,talent,Python,Python,"AI, ML, ML Engineer, Database, C, Data Science, C#, Android, Java, MERN, C++, JavaScript, and Python",Interview,6/26/2024 7:38,7/23/2024 10:36
array,Full Stack Engineer,Direct Web,Node.js,MERN,MERN,Test Project,7/23/2024 9:23,7/23/2024 10:24
risebird,Python Developer,Via direct email,Python,Python,Django,Interview,7/23/2024 7:55,7/23/2024 10:11
gxm consulting,Full Stack Developer,ZipRecruiter,Python,Python,Node.js,Interview,7/17/2024 11:21,7/23/2024 10:05
pulley,Frontend Engineer,Direct Web,Node.js,React,Frontend,Test Project,7/23/2024 7:09,7/23/2024 9:55
coin metrics,BACKEND SOFTWARE ENGINEER,Indeed,Python,Python,Web Pages,Interview,6/26/2024 4:11,7/23/2024 9:55
Allshore Virtual Staffing,FullStack Developer (100% Remote),Web,Node.js,MERN,MERN,Interview,7/18/2024 8:35,7/23/2024 9:52
wyndham hotels & resorts,"FullStack Tech Lead, Digital Product Delivery and Support",Indeed,Node.js,MERN,JavaScript,Interview,7/23/2024 9:43,7/23/2024 9:45
invoca,Staff Software Engineer,FreshRemote.work,Ruby,Ruby on Rails,OOP - Object-Oriented Programming and Kafka,Interview,7/3/2024 11:57,7/23/2024 9:01
the cypress group,Senior Software Engineer,Web,Node.js,MERN,Django,Prospect,7/10/2024 11:19,7/23/2024 8:45
Hunted Labs,Full Stack Engineer,Direct Website,Node.js,Full Stack Developer,React,Interview,7/12/2024 7:09,7/23/2024 8:41
Mission Inbox,Sr. Software Engineer,Direct Web,Python,Python,Django,Warm Lead,7/19/2024 12:51,7/23/2024 8:40
elevar,Backend Engineer,LinkedIn,Python,Python,React and Node.js,Interview,7/8/2024 10:32,7/23/2024 8:36
fluxx,Senior Software Engineering,Direct Web,Ruby,Ruby,React and jQuery,Interview,7/11/2024 9:57,7/23/2024 8:32
ascella technologies,Back-End Software Engineer (Python),Web,Python,Python,Python,Interview,7/22/2024 13:46,7/23/2024 8:22
crisis text line,Senior Full Stack Engineer,Web,Node.js,MERN,Node.js,Interview,6/27/2024 12:33,7/23/2024 8:16
Eyeo,Growth Engineer,Otta,Node.js,JavaScript,NoSQL,Interview,7/15/2024 4:53,7/23/2024 7:20
caktus consulting group,Contract Part Time Python Developer,Indeed,Python,Python,Python,Test Project,6/7/2024 11:38,7/23/2024 7:16
lightbox,Senior Software Engineer,Indeed,Node.js,Node.js,NoSQL,Interview,6/5/2024 2:08,7/23/2024 7:11
Studious,Backend Engineer (Contractor),LinkedIn Chat,Python,Python,Flask and Django,Interview,7/22/2024 14:02,7/23/2024 7:10
anima,Fullstack Engineer (Senior / Leadership) at Anima (W21),Y-Combinator,Node.js,JavaScript,Node.js,Test Project,7/22/2024 1:31,7/23/2024 6:56
rightway,Full-Stack Engineer,Direct Web,Ruby,Ruby,React,Interview,7/19/2024 7:05,7/23/2024 6:55
right balance,Senior Fullstack Engineer,Direct Web,Node.js,JavaScript/TypeScript,React,Test Project,7/8/2024 13:28,7/23/2024 6:44
collegevine,Senior Software Engineer,GreenHouse,Ruby,Ruby on Rails,JavaScript,Interview,7/12/2024 18:57,7/23/2024 6:43
Mursions,Sr. Full Stack Engineer,Google,Node.js,React,Node.js,Interview,7/23/2024 6:37,7/23/2024 6:38
Comoto Holdings,Software Engineer III - Front-End,builtin,Ruby,Ruby,Frontend and Elixir,Interview,7/18/2024 8:52,7/23/2024 6:30
genesco,Lead Integration Engineer - Remote,Direct Web,Python,Python,SQL,Interview,7/2/2024 12:41,7/23/2024 6:30
hunted,Staff Full Stack engineer,Google,Node.js,MERN,Node.js,Interview,7/23/2024 6:20,7/23/2024 6:21
affinipay,Staff Software Engineer- Backend,builtin,Ruby,Ruby,Node.js and Ruby on Rails,Interview,6/12/2024 11:39,7/22/2024 15:42
gitlab,Senior Contributor Success Fullstack Engineer,Otta,Ruby,Ruby,JavaScript,Interview,7/9/2024 12:14,7/22/2024 15:38
lakeholding,Software Engineer,Via direct email,Ruby,Ruby on Rails,Software Engineer and React,Interview,7/22/2024 7:46,7/22/2024 15:07
goengineer inc,Full-Stack Software Engineer,Indeed,.NET,.NET,ASP.NET,Interview,7/9/2024 14:45,7/22/2024 14:04
OppFi Tech,UI Engineer,GreenHouse,Ruby,Ruby on Rails,Java and Ruby on Rails,Interview,7/22/2024 13:17,7/22/2024 14:00
zeneducate,Senior Full Stack Developer â Ruby on Rails/React/React native,Web,Ruby,Ruby on Rails,Ruby,Interview,7/8/2024 12:31,7/22/2024 13:55
energy solutions,Software Engineer III (Remote US),Indeed,Python,Python,Django,Interview,7/1/2024 11:11,7/22/2024 13:46
dripshop.live,Principle Software Engineer,Direct Website,Node.js,React,Node.js,Prospect,7/22/2024 13:36,7/22/2024 13:39
primerica,Senior Lead Application Developer,Indeed,Node.js,Node.js,React,Interview,7/3/2024 13:24,7/22/2024 13:30
ithaka,Senior Software Engineer,LinkedIn,Node.js,Full Stack Developer,Python,Interview,6/28/2024 10:52,7/22/2024 13:18
6sense,Senior Data Scientist,Simplify,Python,Python,SQL,Interview,7/1/2024 15:49,7/22/2024 13:06
"genius road, llc",.Net Developer #2326,ZipRecruiter,.NET,.NET,C#,Interview,7/22/2024 11:53,7/22/2024 12:57
Career US Solution,Full Stack Developer,Simplyhired,Node.js,Node.js,React,Interview,7/15/2024 9:58,7/22/2024 12:53
Epic Print,Software Engineer (Full Stack),Indeed,Ruby,Ruby on Rails,SQL,Interview,7/17/2024 11:54,7/22/2024 12:35
vendr,"Fullstack Sr. Software Engineer, Marketplace (Remote - US)",LinkedIn,Node.js,Node.js,JavaScript,Interview,7/1/2024 9:59,7/22/2024 12:33
centralreach,Senior Full-Stack Software Engineer,Web,.NET,.NET,C#,Interview,7/10/2024 8:26,7/22/2024 12:14
motionrecruitment,Senior Ruby on Rails // LA,LinkedIn,Ruby,Ruby,React,Interview,7/22/2024 11:41,7/22/2024 11:45
cdk global,Staff Software Engineer,LinkedIn Chat,Node.js,JavaScript,SQL,Interview,7/19/2024 14:05,7/22/2024 11:24
Loudwork,Senior Frontend Developer,LinkedIn,Node.js,Node.js,"React, HTML, and Angular",Interview,7/18/2024 14:49,7/22/2024 11:24
tripleten,Data Science Tutor for USA market,Indeed,Python,Python,PyTorch,Interview,7/19/2024 16:11,7/22/2024 10:47
arine,"Back-end Software Engineer, Arine",Otta,Python,Python,Flask,Interview,7/18/2024 8:42,7/22/2024 10:36
SerpApi,Full Stack Engineers,LinkedIn,Ruby,Ruby,Ruby on Rails,Interview,7/22/2024 10:30,7/22/2024 10:30
